CO-ID,Provider ID,المحافظة,المنطقة,شركة,التخصص الرئيسي,التخصص الفرعي,مقدم الخدمة,عنوان مقدم الخدمة,Telephone1,Telephone2,Telephone3,Telephone4,Hotline,Line Fax -1,Excluded Services,Action Date,Reason of Inactivation / Termination,Address1,Provider Type,Provider Name,Region,City,sub-speciality,speciality,ND Online Status,Provider Rank,Remarks,Status,,,,,,,,,,,,,,len1 ,len2,len3,len4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID003300,3277,القاهرة,وسط البلد,هيئة الأطباء,جراحة,جراحة القلب والصدر,د/ حسن محمود السيسي,30 شارع المبتديان - من شارع القصر العيني,2027961613,1222142366,1119777300,,,20227961613,-,09-مايو-2017,,30 Al-Mobtadian Street - from Al-Qasr Al-Aini Street,Clinics / Centers,Dr. Hassan Al Sisi,Down town,Cairo,Surgery,Cardio-thoracic Surgery,No,-,All,Active,,,,,,,,,,,,,,10,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID003300
CID003253,103352,القاهرة,وسط البلد,مستشفى,مستشفي طبي متكامل,جميع التخصصات الطبية,مستشفى قصر العيني التعليمي الجديد,27 نافذة شيم الشافعي - كورنيش النيل-وسط البلد-القاهرة,20223654088,20223654060,20223654062,,,,-,19/09/2020,,27 Nafezah Shem Elshafeey - korniesh elnile,Hospital,Kasr Eleiny New educational hospital,Down town,Cairo,All specialties hospital,All medical specialties,No,C,All,Active,,,,,,,,,,,,,,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID003253
CID000633,104559-B,الجيزة,السادس من اكتوبر,مركز علاج طبيعي,علاج طبيعي,جلسات العلاج الطبيعي,د/شريف محمد السيد العوضي - مركز العوضي للعلاج الطبيعي والليزر,ميدان الحصري - زمزم مول - مدخل 2 - الدور الثالث - 6 أكتوبر-الجيزة,,201283357999,,,,,-,26/12/2016,,"Al-Hosary Square - Zamzam Mall - Entrance 2 - Third Floor - 6 October-Giza
",Physiotherapy,Al Awady physiotherapy Center,6th October,Giza,Physiotherapy,Physiotherapy,No,-,All,Active,,,,,,,,,,,,,,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID000633
CID003244,104559,القاهرة,وسط البلد,مركز علاج طبيعي,علاج طبيعي,جلسات العلاج الطبيعي,د/شريف محمد السيد العوضي - مركز العوضي للعلاج الطبيعي والليزر,1ش26يوليو - شقة 802- الدور التاسع - الأزبكية - وسط البلد - القاهرة,201090214999,,,,,,-,26/12/2016,,1-26july street - plate802- 9th floor - azbakia - downtown - Cairo,Physiotherapy,Al Awady physiotherapy Center,Down town,Cairo,Physiotherapy,Physiotherapy,No,-,All,Active,,,,,,,,,,,,,,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID003244
CID005159,105834,الجيزة,العجوزة,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,51 شارع احمد عرابي - العجوزه- الجيزه,01211131019,1288555588,,,,,-,09-يناير-2021,,51 Ahmed Orabi Street - Agouza - Giza,Laboratory,Grand Laboratory,Agouza,Giza,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,11,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005159
CID005160,105834-B,الجيزة,الدقي,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,42 شارع الدقى - عماره مصر للتامين - ميدان الدقى,33375927,1211130789,,,,,-,09-يناير-2021,,42 Dokki Street - Misr Insurance Building - Dokki Square,Laboratory,Grand Laboratory,Dokki,Giza,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005160
CID005161,105834-B,الجيزة,الهرم,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,300 شارع الهرم - الطالبيه عمارات الاتحادية,33971460,1211131051,,,,,-,09-يناير-2021,,300 Haram Street - Talbieh Federal Buildings,Laboratory,Grand Laboratory,Al Haram,Giza,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005161
CID005162,105834-B,الجيزة,فيصل,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,أول فيصل - برج الأطباء - 5 شارع النادى الرياضى,35725335,1200106824,,,,,-,09-يناير-2021,,Awal Faisal - Doctors Tower - 5 Sports Club Street,Laboratory,Grand Laboratory,Faisel,Giza,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005162
CID005163,105834-B,الجيزة,السادس من اكتوبر,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,1109 عمارات البرعى بلازا - ميدان الحصرى,01211216961,38356217,,,,,-,09-يناير-2021,,1109 El Borai Plaza Buildings - El Hosary Square,Laboratory,Grand Laboratory,6th October,Giza,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,11,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005163
CID005164,105834-B,الجيزة,الشيخ زايد,معمل,معمل,معمل التحاليل الطبية,معامل جراند للتحاليل الطبيه,عيادات نيو جراند ومعمل جراند ستريب مول سوديك,38577608,1223000310,,,,,-,09-يناير-2021,,New Grand Clinics and Grand Strip Mall Lab SODIC,Laboratory,Grand Laboratory,El Sheikh Zayed,Giza,Laboratory,Laboratory,Yes,,All,Active,,,,,,,,,,,,,,8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID005164
